Texto,classification_spanish
"Ya les platiqué cómo en la última reunión que tuve en el Consejo de Hombres de… ya no es Hombres de Negocios, es Consejo Mexicano de Negocios, me preguntó Claudio X. González, papá, lo mismo, que si por qué la polarización. Le dije: No hay polarización, es politización. Y le dije con toda claridad que nos habíamos propuesto transformar al país y que no iba a ser posible la transformación si no le dábamos atención preferente a los pobres, que además esa era la razón de ser de nuestro movimiento, eso es lo que tiene que ver con nuestras convicciones, el amor al pueblo y sobre todo el amor a los más necesitados, a los desposeídos, a los humillados.",opinion
"Pero que además los pobres eran leales y que se podía confiar en ellos, no así en los potentados, no así en los medios de comunicación, no así en los intelectuales del régimen, no así en sectores de clases medias aspiracionistas, individualistas.",opinion
"Claro, en todo hay excepciones: en empresarios hay excepciones, empresarios que tienen dimensión social, dimensión cívica, en los periodistas claro que hay excepciones; además es importante diferenciar entre lo que es la élite del periodismo y los periodistas, no sólo incluyendo a quienes hacen las notas, sino a los que trabajan en los talleres, a los fotógrafos, a los camarógrafos. Entonces, sí hay diferencias.",opinion
"Pero, imagínense, si nosotros queremos transformar al país y nos apoyamos en los potentados, es como poner la Iglesia en manos de Lutero. No estoy generalizando, pero, de acuerdo a mi experiencia de muchos años, los pobres son muy leales. Pues ahí está lo que sucedió en Bolivia, ¿quiénes fueron los que recuperaron el movimiento de transformación en ese país? En Brasil, ¿quiénes fueron los que votaron por Lula?",opinion
"Entonces, no hay que andarnos por las ramas, es muy claro: si se le tiene amor al pueblo, si se apoya a todos, si se atiende a todos, si se escucha a todos, si se respeta a todos, pero se le da preferencia a los pobres, no hay nada qué temer, esa es la estrategia.",opinion
"Pero ¿ustedes creen, como era antes, de que atendiendo a los potentados…? Como en la época de Porfirio Díaz y de Limantur, que la Secretaría de Hacienda nada más estaba para recibir a los llamados hombres de negocio, en la Secretaría de Hacienda nunca se recibía a campesinos, ni a obreros, ni a comerciantes pequeños, medianos, ni a pequeños, medianos empresarios, todo era arriba.",opinion
"Entonces, esto ya cambió. Y repito, no es nada personal, no es de odios, es que nosotros consideramos que esa es la forma de tener una sociedad mejor, ahora sí que la aplicación correcta del término del concepto ‘sociedad’, de tener un pueblo mejor, una ciudadanía mejor. Esto nos significa estabilidad.",opinion
"Y también la otra lección es que una democracia sólo puede tener éxito si atiende al pueblo, porque si no se voltea a ver al pueblo y se ayuda al pueblo pues no se cuenta con una base social, que es fundamental para poder transformar.",opinion
"Entonces, son lecciones porque luego se queda sin Orozco, se queda sin Zapata, se queda sin muchos revolucionarios. Con él sí, por eso es el año de Villa, porque él si está con Madero; o sea, cuando Huerta va a combatir a Orozco a Chihuahua, y va Villa, Huerta lo encarcela a Villa y se fuga de la cárcel Villa. Pero hay la versión, pero esa es para historiadores, de que no se fugó, que le abrieron la puerta por instrucciones de Madero.",opinion
"Entonces, nosotros lo que queremos es la transformación. Se está avanzando o se va a avanzar más este año, este año va a ser importantísimo porque vamos ya a dejar sentadas las bases de la transformación futura.",opinion
"No me gusta decir que los procesos son irreversibles, no, todo cambia, pero sí vamos a avanzar, mucho, mucho, por el bien de México.",opinion
" Bueno, hablábamos de una transformación que se inicia, hablábamos de sentar las bases, pero una transformación es un proceso, es como una transformación permanente; nosotros avanzamos.",opinion
"También hace un momento mencionaba que el porfiriato significó 34 años de dominio, pero el neoliberalismo o neoporfirismo se llevó 36 años, imagínense, se metió hasta lo más profundo, hasta la médula, pero también —vuelvo a la importancia de nuestras culturas— no pudo con el México profundo, no pudo el neoliberalismo, por eso estamos aquí.",opinion
"Yo recuerdo que —se los he comentado— cuando era jefe de gobierno me asomé por la ventana y vi en la plaza que había una manifestación, pero me llamó la atención de que caminaban en la plancha y todos con traje y corbata. Y ya fui observando más y me di cuenta que no sólo era una manifestación de personas con traje, sino que traían alhajas y cadenas, y se veían los relojes de estos de oro y anillos, y me llamó la atención.",opinion
"Ya les expliqué de que nosotros no tenemos posibilidad, ni siquiera nos importa. Va a ser tarea, eso sí, de los que vengan, van a tener que reformar el Poder Judicial, que está muy mal. Ahora se avanzó algo, pero faltan convicciones, faltan ideales, faltan principios.",opinion
" No, no tengo ahí ninguna injerencia de ningún tipo. Si yo fuese como piensan mis adversarios, quedaría quién el presidente decidiera, pero no es así, no somos iguales, no se puede gobernar México sin autoridad moral. Si yo quisiera que quedara un ministro, una ministra, pues a ver, como era antes, en lo oscurito: Le pido el favor que considere la posibilidad…",opinion
"Ah, y el tema de la transformación, el que nunca más regresen los corruptos, la gente lo está viendo así. Porque ellos están pensando que pueden regresar, aquí están los deseos de Claudio, pero no. Además, fíjense, qué desfigure, qué falta de respeto de las formas. ¿Dónde están los partidos? Él suplanta a los partidos. De acuerdo a la Constitución, los partidos son entidades de interés público, y un representante del sector privado ya decide sobre los partidos. A lo mejor hoy le va a responder el del PRI o el del PAN que ellos no son peleles, que no son títeres, que no son floreros, que no están de adorno.",opinion
" Ya no voy a opinar sobre eso, lo que sí es que recomendaría desde ahora que se tenga comunicación con la gente, lo más abierto posible y de manera directa, porque si no el gobernante queda atrapado por los medios de información, lo cercan, y hay que brincar el cerco y hay que estarle informándole de manera directa a la gente.",opinion
"Cuando nosotros triunfamos fue porque teníamos comunicación con la gente, no teníamos el apoyo de los medios convencionales. Pero llegamos a entregar 10 millones de ejemplares del periódico Regeneración, era el medio más visto en el país. O sea, la información es poder; también que se entienda que el poder sólo es puro y se convierte en virtud cuando se pone al servicio de los demás, pero información es poder.",opinion
"Entonces, para que la autoridad no esté sometida, chantajeada por esos corporativos, se requiere tener información directa.",opinion
"Además, hay que garantizarle al pueblo el derecho a la información, puede ser que no sea mañanera, que sea al mediodía, en la tarde, que se tome, ¿cómo se llama?, un video diario o dos veces al día, pero que se esté informando.",opinion
"Y yo para ese entonces voy estar allá escribiendo mi libro sobre el pensamiento conservador, que me va a llevar como cinco años terminarlo, de tres a cinco años, ya para entonces. Porque ya voy a terminar mi ciclo y ya dije que ni a los familiares ni a mis hijos… Que me lleguen a visitar, sí, pero va a estar ahí el letrerito: ‘Nada de política’, porque si no, imagínense.",opinion
"A veces me dan ganas de ponerle Fin, pero lo estoy pensando. Pero ya tengo la idea de cómo lo voy articulando. Ya va a ser mi legado político y ya lo demás que escriba… Porque sí, no voy a dejar de escribir porque, si no, no podría salir adelante. Pero sí va a ser más académico, más teórico y para publicar cada tres años, cada cinco años. Pero sí van a tener muchas tareas.",opinion
" Bueno, las dos cosas que planteas son muy buenas. A mí me gustaría dar respuesta, primero, a tu última reflexión. Eso es parte del pensamiento conservador, se afianzó mucho en el porfiriato, aunque viene de tiempo atrás, pero en el porfiriato se decía que era un asunto de la fortuna, de la suerte, que desde que existía el mundo había quienes tenían la suerte de salir adelante y otros, la mayoría, que no iban a poder salir adelante, es decir, que el que nace pobre muere pobre, el pensamiento conservador es eso.",opinion
"Nosotros pensamos distinto, nosotros pensamos que tiene que ver con oportunidades, y que tiene que ver con la movilidad social, que es responsabilidad del Estado o de los gobiernos, porque el más pobre, el hijo de un campesino, de un obrero, de un maestro, de un pequeño comerciante, con el estudio, con el trabajo, puede ascender en la escala social.",opinion
"México ya es no sólo una potencia economía, México es de los países en la actualidad con mejor distribución del ingreso, con mejor distribución de la riqueza, es uno de los países con más felicidad, con más esperanza. Nos querían quitar hasta el derecho a la esperanza; no han podido, por eso es el coraje. Y tenemos que seguir adelante, ese es el pensamiento que tenemos que seguir enfrentando.",opinion
"Pon a Carmen Aristegui, pon lo que puso del peso. Un experto, o sea, cómo no se van a cuidar en eso, son cuestiones elementales. Pero no estoy poniendo los enfados de Marín, el gruñón de Marín, con todo respeto, no, es Carmen Aristegui, para que vean qué nivel es sobre el peso, de cómo nos daña. O sea, el que no se devalúe el peso, el que esté fuerte el peso no nos ayuda, es lo que dice, según un experto. Y así es el periodismo del Reforma, Y claro, gentes como el señor del avión, pues desde luego que sí tienen razón, es correcto, o sea, ‘ya se me hacía que esto estaba mal, pero aquí viene un experto y me lo explica y ya me convencí’.",opinion
"Y por eso hablamos que neoliberalismo es neoporfirismo, esto ya se aplicó, esta política de entreguismo de apoyar a los de arriba, a las élites, se aplicó cuando Porfirio Díaz. Él era un dirigente popular, no tan vinculado al pueblo, pero sí venía de abajo y se propuso llegar al poder y entrar a la aristocracia de aquél entonces.",opinion
"Entonces, va a ser muy difícil que se encuentre algo de Porfirio Díaz a favor de los pobres. Yo lo he estudiado y casi no hay nada, lo que hay es la justificación de la esclavitud, de decir: ‘Ni modo, es muy doloroso, pero se necesita’ o ‘es muy doloroso aplicar la leva —es decir, obligar a los jóvenes, a las personas a formar parte, por la fuerza, del Ejército—, pero hay que hacerlo’.",opinion
" Bueno, pero no, ya con eso. Nos vemos mañana, quedan dos compañeras, ella y ella, ya, mañana hablamos ya, mañana. Están más complicadas las preguntas de ahora que las que me hicieron…. Mejor mañana.",opinion
"Quiero expresar mi satisfacción, porque se va avanzando en este asunto tan delicado y al mismo tiempo tan importante, el de garantizar la paz y la tranquilidad en nuestro país. Estamos trabajando todos los días, es el gabinete que más se reúne de todo el gobierno, es con el que más me reúno, diario.",opinion
"Y quiero aprovechar para agradecer el apoyo de todos los integrantes del Gabinete de Seguridad. No están todos, pero agradecer a Rosa Icela Rodríguez, secretaria de Seguridad; al almirante José Rafael Ojeda Durán, secretario de Marina; al general Luis Cresencio Sandoval González, secretario de la Defensa.",opinion
"Uno de los avances importantes en la estrategia es el que trabajamos de manera coordinada. Hay muchas otras acciones que han dado resultado, desde luego lo principal es no olvidar que la paz es fruto de la justicia. Atender a los jóvenes, atender a la gente que más lo necesita para que se detenga el empobrecimiento del pueblo, que no haya frustración, que se pueda salir adelante con trabajo honrado y que se pueda ser feliz en el país sin caer en el camino de las conductas antisociales, esa es la base de todo.",opinion
"Eso no lo van a aceptar nunca nuestros adversarios, pero es la verdad. Nosotros no imponemos nada en la Corte y es tan evidente, aunque no lo quieran aceptar, que la presidenta Norma Piña siempre ha votado en contra de las iniciativas que nosotros hemos defendido. Es único el momento que estamos viviendo, nadie puede decir que hay subordinación, como era antes, de los poderes al Ejecutivo.",opinion
"Ahora no, ahora el presupuesto está llegando de manera directa a la gente y se está usando para obras de infraestructura que antes se concesionaban, ahora se realizan esas obras con presupuesto público. Por eso no se cobra en las carreteras que se están realizando, porque también tenemos la filosofía, la concepción de que ya el ciudadano contribuye, como se dice comúnmente, paga impuestos —que no deben de ser impuestos, deben de ser contribuciones, pero, bueno— ya se paga el impuesto y además de que se paga el impuesto para usar un servicio hay que pagar otro impuesto, eso es indebido.",opinion
"Son bienvenidos el presidente Biden y el primer ministro Trudeau. Y con el presidente Biden tenemos muy buena relación. Y estoy seguro que van a ser muy buenos los resultados del encuentro, diría trascendentes, pero hasta ahí nada más.",opinion
" Doscientos cincuenta, fíjense el cambio; pero, además, trabajando juntos. Antier que hubo este motín en Ciudad Juárez, si no es por la Guardia Nacional, por la Defensa, ¿cómo se enfrenta? Entonces, esa fue una buena reforma, importante, claro.",opinion
"La segunda que yo considero muy importante, la revocación del mandato, que ya se llevó a cabo, ya está el precedente, para que, si el presidente es electo por seis años, pero a la mitad las cosas no funcionan y la gente dice: ‘No estoy de acuerdo con lo que está pasando’, porque el pueblo pone y el pueblo quita, esa es la democracia, consulta: ‘¿quieres que continúe el presidente o que se vaya?’",opinion
"Porque lo que contaba antes era nada más la democracia representativa, no la democracia participativa, esa que consiste en que el pueblo en todo momento tiene el derecho de cambiar la forma de su gobierno. El pueblo manda, el pueblo es el soberano. ‘Yo te puse, pero no estuviste a la altura, yo te quito’. Esa fue una segunda reforma importante.",opinion
"La tercera reforma importante es que ya no hay fuero para el presidente. Llevaba como siglo y medio que al presidente sólo se le podía juzgar por traición a la patria, y ahora se le puede juzgar por cualquier delito, como a cualquier otro ciudadano.",opinion
"Entonces, ya, la verdad, no tenemos nada que temer en cuanto a que bloquee el Poder Judicial, si esa fuese su intención, que no creo que estén pensando en frenar la transformación; pero si fuese esa su intención, no pasaría absolutamente nada, porque nosotros seguimos haciendo justicia.",opinion
"Ayer lo decía yo, hacer justicia es devolverles 30 mil hectáreas a los yaquis; hacer justicia es que todos los adultos mayores del país tengan una pensión; hacer justicia es que tengan pensión todos los discapacitados; hacer justicia es que se apoye a los productores del campo; hacer justicia es que se entreguen 11 millones de becas a estudiantes pobres, y eso lo vamos a seguir haciendo, eso no nos lo pueden impedir.",opinion
" Ah, 10 mil millones. Ese era el problema, pero a muchos, a los que son muy susceptibles de manipulación, los tenían convencidísimos con eso, y todavía puede ser que hay quienes sigan pensando en lo mismo.",opinion
"Era como lo otro, la mentira de que si aumentaban los salarios se incrementaba la inflación y que por lo mismo no aumentaban los salarios, se aventaron 30 años así con esa mentira, 30 años.",opinion
"Otra mentira, esto de un secretario de Hacienda, que si subían el precio de la gasolina no afectaba porque la mayoría de la gente no tenía automóvil, no usaba gasolina. Una eminencia de estas. Y así muchísimas mentiras, pero, bueno.",opinion
" Sí, sí, sí, además es deshonestidad, pero a lo que voy es que el que acusa de plagio o los que acusan de plagio están metidos en la corrupción o avalaron la corrupción o viven de la corrupción. Aquí es aplicable aquello de que el que esté libre de pecado que tire la primera piedra, pero como son muy hipócritas, son finísimas personas, se les olvida todo. El increíble el cinismo, el cretinismo. Pero, repito, somos libres y lo más importante de todo es que hay un pueblo muy consciente, un pueblo que es mucha pieza.",opinion
"Está haciendo cosas desde ayer muy importantes, está dando marcha atrás a las privatizaciones que se habían hecho, hasta del petróleo de Brasil, y está tomando decisiones importantes. Y es un buen gobernante, tiene mucha experiencia, tiene reconocimiento mundial.",opinion
" No, no estoy de acuerdo en eso; habría que ver qué es lo que plantea. No lo había escuchado, el presidente Lula, que es, insisto, muy inteligente, muy buen político, muy buen gobernante y además sensible, sensible, defensor de los pobres, pero no había escuchado eso.",opinion
"Antes de eso, es que me llamó mucho la atención lo de los rieles. Para que quede contento el Reforma y Xóchitl, ¿qué les parece si los pintamos de amarillo?, no de amarillo por el amarillismo.",opinion
"Y de ahí viene Sheridan. Nada más basta… ¿Por qué no lo pones otra vez a Sheridan?, para darnos una idea, independientemente si da clases o no clases, si cobra sin trabajar, si es titulado o no es titulado.",opinion
"Miren esto, porque esto muestra la decadencia intelectual a la que llegamos, a la que nos llevó la política neoliberal, que no fue nada más crisis en lo económico, en lo social o en lo político, o en lo moral, fue también esto. ¿Dónde están los intelectuales que defienden al pueblo?",opinion
"‘Según un periódico —es que es una joya esto, es igual como lo de los rieles— según un periódico, AMLO declaró hoy: Le tengo un profundo amor y admiración al pueblo de México’. Pues claro, son mis convicciones, me siento orgulloso, son mis ideales, es mi humanismo.",opinion
"‘Lo mejor que tenemos en México’. Siempre he dicho que la mayor riqueza de México es la honestidad de su pueblo, muy contrario a lo que piensan los conservadores, muy contrario. Por siglos, el pensamiento conservador siempre ha sostenido que el pueblo es flojo, es indolente, que no sabe.",opinion
"Pero pensamos distinto, ¿para qué nos vamos a enfrascar en un pleito? Si acaso, a los hijos y sobre todo a la gente humilde, que es además muy receptiva, no tiene prejuicios, no tiene la idea de que lo sabe todo. De ahí la actitud de humildad, y ahí sí se puede ir orientando, concientizando. Y no cuesta mucho porque abajo en las comunidades, en las familias, en el México profundo hay muchos valores culturales, morales, espirituales que vienen de las grandes culturas que florecieron en México antes de la llegada de los europeos. Traemos esa herencia, ese legado, y por eso digo que el pueblo de México es un pueblo bueno, noble, trabajador.",opinion
"Por ejemplo, ¿cuál fue la imagen que manejaron durante siglos los conservadores? De que el pueblo era flojo. Ya hemos hablado del ejemplo de nuestros paisanos migrantes. Si el pueblo de México fuese flojo, indolente, no saldría adelante en ninguna parte.",opinion
"Hay un poema de Paz, que es el que más me gusta, a ver si lo encontramos, habla de su abuelo y de su padre. Es que tiene que ver con la formación, con la intelectualidad. El abuelo de Paz, Irineo Paz, fue revolucionario desde la época del movimiento reformista. Y fue periodista, tenía un periódico que se llamaba La Patria o Patria, y era combativo, era de los periodistas más opositores. Claro, fue pasando el tiempo y ya cuando tiene casi todo el control Porfirio Díaz ya lo mete al aro.",opinion
"Lo mismo a la prensa del antiguo régimen que está en contra de nosotros, pues los del Reforma. Pero no es nada personal, ni con Claudio X. González papá, se lo dije, hace como un mes que lo vi, que estuvimos así, que me habló que por qué se polarizaba, le digo: No, si no se polariza, se politiza.",opinion
"Entonces, no es un asunto personal, es un asunto de estrategia política. Y el ejemplo muy doloroso que tenemos los mexicanos es el caso del asesinato del presidente Madero, un hombre bueno, un santo, que quería que se estableciera una auténtica democracia en nuestro país, que se garantizaran las libertades, se adelantó muchísimo a su tiempo, pero predicaba en el desierto y con lo que podía llevar a cabo su plan, y no era fácil, la condición era el que se apoyara con los campesinos, con el zapatismo, para afianzarse y enfrentar al antiguo régimen porque, imagínense, 34 años de poder el porfiriato. ¿Cómo se enfrenta eso? Una cosa muy complicada en todos los sentidos.",opinion
"El conservadurismo estaba, pero en su apogeo, el militarismo, la represión, el autoritarismo, el clasismo, el racismo, entonces sí era algo muy complicado. Sólo con esa alianza podía, y no iba a ser fácil, hacer realidad su sueño democrático.",opinion
"Y ahora… Ah, cuando las guacamayas, lo mismo, ‘se acabó ya’, que porque tengo tiroides, hipertensión y otros achaques, ‘ya se está muriendo, ya ahora sí’.",opinion
"Vamos a seguirlos enfrentando, porque están muy molestos, pero hay que limpiar de corrupción el país, hay que purificar la vida pública.",opinion
"Y esto del Poder Judicial, como tú lo sostienes, por primera vez hay autonomía en el Poder Judicial, porque dependían los ministros del presidente.",opinion
"Entonces México tiene desde hace mucho tiempo el respeto, la admiración de otros pueblos en el mundo. Debemos de sentirnos muy orgullosos de eso, de nuestro país, por eso es que es muy importante México, la grandeza de México.",opinion
"Eso se aplica, ya lo hemos aquí dicho varias veces, en países europeos, se llama Estado de bienestar: cuando uno llega a una determinada edad, después de 60, 65 años, ya empieza uno a recibir una pensión, aunque no se haya trabajado en una empresa, sólo por el pertenecer a ese país; lo mismo servicios médicos, becas. Es garantizar la seguridad del ser humano desde que nace hasta que muere, desde la cuna hasta la tumba. Ese fue el mayor aporte en toda Europa, desde mi punto de vista, después de la Segunda Guerra Mundial: el establecimiento del Estado del bienestar.",opinion
"Esto es buenísimo: ‘Si México no tuviera que cargar con Guerrero, Oaxaca y Chiapas, sería un país de desarrollo medio y potencia emergente’.",opinion
"No, pero tiene varias, hay muchas. Pero los de las redes sociales son muy creativos para ir sacando estos textos.",opinion
"Entonces, cuidar todo eso, que no haya uso indebido del presupuesto público, que no se compren los votos, pero depende mucho, mucho, mucho de los ciudadanos, de la denuncia. Yo en la campaña llegaba a decir si les llegan a ofrecer, que les van a dar despensas, entregaban tinacos y pollos y patos, chivos, borregos, puercos, cochinos, marranos, cerdos, así decía. Y si están muy, muy necesitados pues, bueno, dinero del presupuesto. No se debe de hacer, pero está permitido decir una mentira piadosa, díganles que sí, pero a la hora de la hora el voto es libre, es secreto.",opinion
"Bueno, pues vamos a informar primero sobre lo sucedido ayer en Sinaloa. Ya se informó al mediodía de ayer, lo hizo el Gabinete de Seguridad, hoy también, y vamos a estar informando constantemente; sobre todo, para tranquilidad de la población en general y en especial a la población de Sinaloa, que les enviamos nuestra solidaridad, nuestro apoyo, para que puedan recuperar lo más pronto posible la normalidad, se está haciendo todo con ese propósito. Y lo que se va a informar tiene que ver con la manera responsable en que se actuó para cuidar a la población civil, que no hubieran víctimas inocentes, eso vamos a tratarlo.",opinion
"Luego vino otro hecho, también muy lamentable: el asesinato de mujeres en Bavispe, con niños, la familia LeBarón y dos familias más. Entonces, pues fue también muy fuerte ese hecho lamentable, y me habló también el presiente Trump para lo mismo, para decirme que ellos podían ayudar con personal y con lo que se necesitara; y lo mismo, la respuesta fue: No, muchas gracias, nosotros vamos a investigar lo que sucedió, como corresponde, y se va a castigar a los responsables. Cosa que, por cierto, ya se hizo, porque hay cerca de 100 detenidos en el caso de Bavispe.",opinion
"Y la gente se portó muy bien porque el gobernador a tiempo informó, pidió que no salieran, que se protegieran, y la gente hizo caso, ayudó mucho eso, quedaron vacías las calles y esto ayudó para hacer un seguimiento y estar actuando. Esa es mi apreciación.",opinion
"Entonces, sí es muy importante la información, por eso, aunque se trata de un juicio en Estados Unidos, que es una extradición, que es un juicio como el que van a iniciarle a García Luna, pues sí se puede informar cómo es, y Marcelo tiene manera.",opinion
" Lo voy a recibir al presidente Biden y él pidió, y estuve totalmente de acuerdo, en que juntos nos traslademos por tierra para platicar. No vamos a tener mucho tiempo, porque se hacen como 30 minutos ¿no?, 40.",opinion
" Bueno, pues fue un buen encuentro. El presidente Biden es una gente amable. Estuvo todo el tiempo contento. Platicamos sobre temas que vamos a tratar en la reunión de hoy, en la reunión bilateral: el tema migratorio, los temas relacionados con la integración económica de América del Norte y sobre todo el pensar en la integración económica con respeto a las independencias, a las soberanías de todos los países de nuestro continente, porque, como lo hemos venido diciendo, no basta con integrarnos en América del Norte.",opinion
"Se está haciendo muy bien esta integración con respeto a las soberanías de Canadá, de Estados Unidos, de México, pero es mucho, mucho, muy importante pensar en consolidar a todo nuestro continente. Es un sueño que podemos convertir en realidad, el que se logre la unión entre todos los países del continente americano, que podamos complementarnos, porque es el continente con más potencial, con más recursos, con más posibilidades de garantizar el bienestar para nuestros pueblos, pero tenemos que unirnos.",opinion
"Y no sólo pensar en lo económico, en lo comercial, sino también en el bienestar de nuestros pueblos, la ayuda mutua, y actuar con respeto a las soberanías. Sobre eso hablamos, en muy buenos términos.",opinion
"Él está muy contento de visitar México. Y pues fue muy agradable todo el recorrido, hasta me estuvo ahí mostrando cómo es ese vehículo especial, él mismo me ponía los botones de lo que hace esa silla, muy muelle. Y estuvimos platicando muy bien. Es una muy buena persona y yo pienso que va a ser muy exitoso el encuentro, la cumbre en general.",opinion
"¿Quiénes se inconforman, por ejemplo, con el que no se permita el consumo de maíz transgénico?, pues lo que no tienen escrúpulos, quienes están acostumbrados a vender alimentos dañinos para la salud.",opinion
"¿Quiénes pueden decir: ‘no estamos de acuerdo con que se prohíba los vapeadores’?, pues los que nada más están pensando en el lucro y no piensan en la salud.",opinion
"No hay en el presidente Biden una negativa; al contrario, coincidimos. Hace falta apurarnos para llevar a la práctica un plan con esas características. Por eso el encuentro de hoy es importante, porque ya tenemos un modelo y ya hicimos una evaluación, y podemos ir a las comunidades de El Salvador y de Honduras donde ya llevamos dos años trabajando y ahí está la prueba de lo que estamos sosteniendo. Entonces, ese es el propósito básico, fundamental.",opinion
"Entonces, si esto se consolida, pues va a generar una esperanza en la gente que quiere salir de su país, porque va a decir: ‘Me lleva tiempo, tengo que hacer todos estos trámites, pero ya no sólo como opción el buscar a un traficante, pagarle un dinero y arriesgarme a cruzar la frontera’. Yo veo eso bien, creo que se ha avanzado. No sé tú, cuál es tú punto de vista sobre esto, porque es muy interesante.",opinion
"Canadá tiene un sistema ejemplar de visas temporales de trabajo, y en el caso de Estados Unidos había renuencia, no se habían decidido a lo que ahora están haciendo. Es un inicio, pero, bueno, considero que puede funcionar.",opinion
"La verdad, estamos muy satisfechos con la actitud del presidente Biden y pensamos que vamos a llegar a buenos acuerdos en esta bilateral.",opinion
"Y también, repitiendo el verso de la canción de Rubén Blades, porque se puede estar allá… Yo he encontrado en Texas, en California, en Nueva York, en cualquier estado de la Unión América a veces más nacionalismo, más amor a México, que los que vivimos aquí. Son muy nacionalistas, quieren mucho a nuestro país, es su México lindo y querido. Y lo que decía Blades: ‘El que no quiere a su patria no quiere a su madre’.",opinion
"Y también, para que no quede duda, tenemos nosotros la ventaja, la dicha enorme de contar con muy buenos servidores públicos en nuestro movimiento. Esto, también hablando con toda claridad y franqueza, pensando en el relevo hacia adelante, son los de más experiencia. Porque el noble oficio de la política requiere de cabeza, de corazón y de carácter. No cualquiera.",opinion
"Además, están también de por medio los ideales, los principios. ¿Se va a seguir en lo mismo de antes, en que el gobierno era un facilitador de la corrupción, de que el gobierno estaba al servicio de una minoría rapaz? ¿Se le va a volver a dar la espalda al pueblo de México, a la mayoría de los mexicanos, a los pobres que no eran atendidos, a los jóvenes que eran marginados, humillados, llamándoles ‘ninis’? ¿Se va a regresar a eso, a que México sea país de unos cuantos, o queremos que el pueblo siga siendo el actor, el protagonista principal en nuestra historia?",opinion
"De lo que no tengo duda, y lo que quiero aclarar, es que el conservadurismo, que tienen como característica la hipocresía porque son muy corruptos, ahora enarbolan la bandera de la ética, como los hemos visto en otras cuestiones.",opinion
"De todas maneras, vamos nosotros a ver el asunto. Si ahora ya le pasaron la responsabilidad a la SEP, o sea, la pregunta es: ¿no pudo la UNAM resolver? Y ahora la pasa a la SEP la decisión; nosotros vamos a atenderlo y pronto vamos a resolver.",opinion
"Y sí, en Hidalgo está creciendo el número de estos actos vandálicos, y estamos actuando y vamos a seguir actuando. Desde luego, no sólo con la vigilancia y protegiendo a los trabajadores de Pemex, sino también con los Programas de Bienestar, ayudando a la gente.",opinion
