index,Texto,classification_spanish,Clasificacion,new_classification
660,"Es el único partido que tiene ese método de elección. Seguramente en el bloque conservador pues ahí va a llevar mano Claudio X. González, pero acá decide la gente mediante encuestas, se le pregunta a la gente si conocen a los posibles candidatos, qué opinión tienen de ellos, si son honestos, si están cercanos a la gente, y se les pregunta si les gustaría que fuesen los candidatos; y el que sale mejor evaluado, a ese es al que se apoya. Entonces, esto lo reitero para que nadie use mi nombre. Yo apoyo a quien triunfa de manera democrática mediante el levantamiento de una encuesta.",competencia,,Opposition
2846,"En el siglo XIX, sin duda, tanto Sebastián Lerdo de Tejada, murió pobre en el exilio.",competencia,,Opposition
8753," Vamos a ayudarlos, nosotros nos comprometemos a que los atienda el gobernador. Y si nos comprometemos y hacemos este compromiso es porque conocemos muy bien al gobernador, y es una gente de primer orden, dispuesta siempre al diálogo, es un hombre bueno.",competencia,,Opposition
2557,"Entonces, estoy pensando en que se conviertan todos estos terrenos en áreas naturales protegidas, para prevenir. Ya no nos va a tocar a nosotros, pero y qué tal la mala suerte y que regresen, porque además van a traer más hambre de dinero, van a regresar por sus fueros. Entonces, hay que proteger el patrimonio.",competencia,,Opposition
10648,"Y la Corte, como se dice coloquialmente, ya la perdimos. Yo creo que siempre había estado alejada del pueblo y cercana al poder, pero ahora de manera descarada están al servicio de los potentados, de la minoría, de lo que conceptualmente, teóricamente, se conoce como la oligarquía, que es el poder de los ricos, eso es la oligarquía, la democracia es el poder del pueblo.",competencia,,Opposition
5926,"Entonces, ahora con este tema, lo mismo, ahí van, porque no aceptan, no me creen que nosotros no espiamos a nadie. Porque cómo lo van a aceptar, cómo me van a creer si ellos ya me juzgaron: yo miento, yo soy autoritario, yo soy militarista. Ya tienen esa idea, es una consigna.",competencia,,Opposition
17811,"Eso del cambio lo desgastaron, una palabra que… Nosotros tuvimos que ponerle ‘cambio verdadero’. Porque todo fue una farsa.",competencia,,Opposition
114,"Bueno, pues vamos a informar, como todos los miércoles, sobre quién es quién en las mentiras. Es una mínima parte, muy poquito, ni siquiera llega a botón de muestra para todo el bombardeo de mentiras de la guerra sucia que han echado a andar los del bloque conservador con sus medios de desinformación. Pero, bueno, para tener una idea y no dejar de ejercer el derecho de réplica, vamos a que Elizabeth nos dé la información.",competencia,competencia,Opposition
21307,"¿Qué les dio el gobierno corrupto a los trabajadores, si en 40 años en vez de aumentar el salario mínimo disminuyó? Entonces, ¿quién va a querer que regresen?",competencia,,Opposition
15556," Bueno, yo quiero hacer un llamado a la gente de esta región de Guerrero, de Chilpancingo, de Chilapa, de estas comunidades para que no se dejen manipular por quienes dirigen estas bandas que están vinculadas a la delincuencia.",competencia,,Opposition
11276,"Y hasta coraje da, porque hay testimonios de que no sólo aprueban esas reformas para privatizar el petróleo, que va a acorde con el pensamiento conservador, que era a lo que aspiraban desde la época en que el general Cárdenas tomó la decisión de expropiar el petróleo. Por eso surgió el PAN al año siguiente, para oponerse a la nacionalización del petróleo, a la expropiación del petróleo, ese era su principal objetivo: la privatización.",competencia,,Opposition
13288,"Ahora ya se entiende mejor, se comprende mejor, ya no se podía mantener ese régimen corrupto, podrido, no se podía, eso iba al fracaso rotundo; si no se iniciaban los cambios, la transformación, iba a ser desastroso para todos.",competencia,,Opposition
19990," No, no, no, ahora no les invitamos, pero después sí; porque, si no, ahí en tu radio, no, pues, lo que no sucede, lo inventan, en Radio Fórmula. Y es, ahí sí, nado sincronizado, porque desde que amanece todos los noticieros, uno tras otro. Y que no se enojen porque no estoy diciendo mentiras; es como dicen algunos —no quiero decir los jóvenes— algunos, ‘es la neta del planeta’.",competencia,,Opposition
17738,"Nosotros podemos enfrentar la campaña de desprestigio en los medios de información. Le ofrezco disculpas a mi amigo Alatorre por lo que dije, pero es que se están pasando con eso del comunismo y los libros de texto. En la mayoría de los casos ni siquiera los han leído, es un rechazo por consigna y sobre todo por la carta ideológica. Es mucho el conservadurismo de algunas personas, mucho, mucho, mucho, los obnubila, entonces ven comunistas por todos lados, así como los ovnis.",competencia,,Opposition
12725," Sí, es que ha habido mucha simulación. Por ejemplo, la zona de reserva —pon de nuevo el mapa, el plano— es esta, pero aquí arriba… Baja un poco. No, por aquí.",competencia,,Opposition
19472,"De todas maneras, que le pida Jesús a María Luisa Albores que te dé toda la información. Si hay algo irregular, lo revisamos. Pero se llevó a cabo una consulta, yo fui allá y ofrecí eso.",competencia,,Opposition
7608,"¿Cuándo un presidente había señalado de que el problema de la migración tenía que ver con el abandono de los pueblos de América Latina y del Caribe? ¿Cuándo un presidente se había atrevido a decirle a los gobernantes de Estados Unidos que, mientras ellos destinan 30 mil millones de dólares para la compra de armas en la guerra de Ucrania, tienen completamente olvidado a Centroamérica y no autorizan recursos para atender las causas de la migración?",competencia,,Opposition
6828,"Y hay muy buenas anécdotas, porque dicen que el que lo sustituye fue a llevarle su discurso de toma de posesión a Díaz Ordaz y el que lo sustituyó fue Lauro Ortega, que era un priista,pues ortodoxo, ¿no?, de los que actuaban con estricta disciplina.",competencia,,Opposition
17217,"Se quitó el civismo, la ética, porque los libros de texto reafirmaban lo que sostenían las políticas neoliberales, eran libros acordes con el modelo predominante, un modelo más enfocado a lo privado, no a lo público; un modelo más enfocado hacia lo material, hacia el egoísmo, no hacia la fraternidad, la solidaridad.",competencia,,Opposition
12905,"‘En el 21: Ya nadie va a las mañaneras por la pandemia’, están abandonando a López.",competencia,,Opposition
14246,"¿Qué quisieran los del Reforma o, mejor dicho, los patrones del Reforma, los jefes del Reforma?",competencia,,Opposition
14770,"Antes, cuando imperaba el dedazo, era el presidente en turno el que imponía a su sucesor. Pero estamos hablando del presidente de una institución, ahora ni siquiera es un dirigente político o un dirigente de un partido, es un gerente, Claudio X. González hijo, el que decide. Tengo toda la información de que él llevó a cabo las consultas para que los represente, a este grupo, Xóchitl Gálvez. ¿Y por qué?",competencia,,Opposition
14653," Ya les dije, ya lo decidieron los oligarcas, estos mismos, estos mismos, los que se creían los dueños de México y los del Reforma.",competencia,,Opposition
10164,"Esto es lo que representan y por eso somos diferentes, somos distintos y traemos diferencias desde hace tiempo.",competencia,,Opposition
9345," José Ramón Cossío, claro. Imagínense si vamos a poder avanzar como pueblo, como nación con estos retrógradas, conservadores, salinistas.",competencia,,Opposition
11810,"Yo también, ni modo de decir: No tenemos acuerdos, ni queremos tenerlos, con quien por su propia voluntad decida actuar de manera responsable y humana.",competencia,,Opposition
14804," Sí, sí, pero mañana hablamos. O sea, lo importante es que ya vamos a… Es que, si no, en tu periódico esa va a ser la nota mañana. Son muy sensacionalistas, amarillistas. No, lo de Reforma es algo lamentable, es el Alarma!, entonces para qué vamos a dar información a la Alarma!",competencia,,Opposition
1946,"Ya deberíamos de pensar si le seguimos llamando Suprema Corte de Justicia, si acaso del derecho, porque todo esto se protege o se usa como excusa en todo esto que estamos viendo, la liberación de presuntos delincuentes, se utiliza como excusa el derecho.",competencia,,Opposition
14633,"Todavía, creo que tenemos por ahí la imagen, donde llega allá, donde ayer asesinaron a Hipólito Mora, sí, en el municipio de Buenavista, muy cerca de Apatzingán, ahí llega vestido de militar y declara la guerra, al mismo tiempo que su secretario de Seguridad Pública está vinculado con organizaciones del crimen organizado. Y se combatía a unas bandas y se protegía a otras, eso era lo que sucedía.",competencia,,Opposition
21041," Bueno, ayer acudí al informe del gobernador Alfredo del Mazo. Ya he dicho que hemos trabajado de manera coordinada. Ha habido mucho respeto y hemos puesto por delante el interés general, el interés del pueblo, independientemente de las banderías partidistas.",competencia,,Opposition
535," Sí, y nuestro amigo López-Dóriga, de que no va a bajar el avión del presidente. Entonces, ahí sí vale la pena decir: Pues fíjate que sí bajó. Así es como podemos, pues, confrontarnos, de esa manera.",competencia,,Opposition
15599,"Entonces, yo no estoy de acuerdo con el gasto de publicidad, el gasto excesivo de publicidad. Nosotros hacíamos trabajo casa por casa. Yo empecé subiéndome a los camiones y entregando volantes en Villahermosa, en el 88. Yo llego con un morral y unos volantes, y eran camiones urbanos, y estaba yo en la parada y le pedía yo permiso, oportunidad al chofer, y me decía que me subiera.",competencia,,Opposition
20452,"INTERLOCUTORA: En algún momento se ha mencionado, precisamente por esa titularidad, que estaría destinado, incluso, a desaparecer.",competencia,,Opposition
18853,"Hay uno que es también experto, que él se ufana de decir que es neoliberal.",competencia,,Opposition
12921,"Entonces, el encargado de los contenidos ahora, que es educación científica y humanística, pues está ahí, y ya se avanzó y se va a seguir avanzando. Pero esa es una tercera prioridad.",competencia,,Opposition
10497,"Pero ya llevaba mucho tiempo, para decirlo breve, rápido, que no se tenía en Veracruz un gobernador como Cuitláhuac García. Se había padecido de gobernadores corruptos, irresponsables, mediocres, uno tras otro.",competencia,,Opposition
16235,"Y sí, cuando uno los testerea nada más así, se ponen… pegan el grito en el cielo porque, también, con la hipocresía de la derecha, nada más ellos pueden cuestionar. Uno no puede decir nada, uno no puede ejercer la libertad, no puede ejercer el derecho de réplica, no puede uno ejercer la libertad de expresión, el derecho a disentir, no, nada más ellos.",competencia,,Opposition
20817,"Entonces, ¿el presidente está de florero y, aunque esté viendo que hay toda una estrategia engañosa, mentirosa, falsa, se tiene que callar? No, vamos a ejercer nuestra libertad todos y vamos a expresarnos.",competencia,,Opposition
15948,"Bueno, se tuvo que dar marcha atrás porque se llevó a cabo una consulta. También algo parecido a lo de la mina, ustedes recuerdan aquí, una mina de oro que querían explotar —de cobre, ¿verdad?—, y que se canceló, tomamos la decisión. Era oro, sí, estoy hablando de aquí cerca, de…",competencia,,Opposition
13905,"Pero así sucede, pues. Arriba se entiende mejor, pero abajo se ofenden mucho. Es un asunto de sentirse superiores o querer sentirse superiores.",competencia,,Opposition
4765,"No puede haber gobierno rico con pueblo pobre, eso es una inmoralidad. Son deshonestos. Este señor, imagínense, 15 años. ¿Y cuánto gana el señor?",competencia,,Opposition
7891,"Por eso no estaba yo de acuerdo, nada más que son respetuoso de la división de poderes y del equilibrio que debe de haber, pero había una reforma para controlar los gastos de publicidad en los gobiernos estatales y la modificaron. Porque puede el gobierno federal tener un plan de austeridad para no gastar tanto en publicidad, pero hay gobiernos estatales que se gastan miles de millones de pesos. Por eso —sobre todo las cadenas de radio, de televisión— brincan, porque ahorita están haciendo su agosto allá en Coahuila. Ahí se los dejo de tarea. Porque todavía nos falta avanzar.",competencia,,Opposition
3188,"En programas de radio, todos. Van escuchando la radio, le cambian y lo mismo. Y era antes la radio la campeona de la libertad. Claro, existen las radios comunitarias y hay otras radios, pero las cadenas… a ver, recuérdame cuáles son las cadenas en donde están los comentaristas más famosos.",competencia,,Opposition
14047,"Entonces, yo interpreto esto, más que nada, como una actitud política de protección, de defensa, de los intereses de una minoría rapaz y corrupta, que era la que dominaba en México, los que se sentían los dueños de México, el gobierno estaba secuestrado, tomado por esa minoría. Como ya no pueden dominar en el Ejecutivo ni en el Legislativo, esa minoría está encumbrando al Poder Judicial convirtiéndolo en un supremo poder conservador, ahí es donde se están queriendo refugiar los delincuentes de cuello blanco que tanto daño le han hecho al país.",competencia,,Opposition
7117,"Desde luego, como están de por medio intereses muy fuertes, ¿no?, están presionando mucho, pero nosotros somos perseverantes, yo creo que eso ya quedó demostrado, que no nos rendimos y que somos libres.",competencia,,Opposition
14146,"Yo tengo —ya después, no sólo en lo electoral— diferencias, porque no apostaron a esa vía, incluso con organizaciones que guardaron silencio cuando había un narco-Estado y que ahora nos acusan de todo a nosotros.",competencia,,Opposition
10267," Un cartón negro, exactamente, nada más. Entonces, sí debemos de celebrar que ahora hay avances en este sentido.",competencia,,Opposition
149,"Por eso cuando dicen ‘hay que buscar el acuerdo con los intelectuales, con los empresarios, con los de arriba’, pues sí, hay que gobernar para todos, pero no se puede poner el futuro de un país, la transformación de México en manos de gente que nada más son leales al dinero.",competencia,competencia,Opposition
1966," Pues que sean gentes decentes, honrados, íntegros, verdaderamente independientes, verdaderamente demócratas, que no sean como los que están.",competencia,,Opposition
13498,"Entonces, por eso, sí son poderes independientes, pero cuando menos señalar. Nosotros no vamos a destituir al juez, eso le corresponde hacerlo al Poder Judicial; de manera concreta, específica, al Consejo de la Judicatura. Se puede presentar la denuncia, pero ellos son los que tienen que decidir, pero sí es importante respetar la autonomía.",competencia,,Opposition
7457,"Entonces, están muy nerviosos los adversarios. ¿No ven también que ya quieren que no haya mañaneras? Es un nivel de intolerancia que muestra con claridad su autoritarismo de los conservadores y sus voceros, nada más quieren hablar ellos. Imagínense que nos quedáramos sólo esperando las noticias de la televisión, de la radio, los comentaristas de radio, de televisión, los columnistas de los periódicos.",competencia,,Opposition
6185,"Es muy importante, y lo tengo que repetir, que se sepa que el partido conservador más rancio votó en contra de esta reforma. Por eso, que ni estén soñando que van a regresar por sus fueros. Porque es tanto el desprecio al pueblo que ni siquiera tienen un poco de consideración con la gente humilde, con los más pobres, con los más vulnerables. Son de lo peor en egoísmo, en clasismo, en racismo. Desprecian al pueblo. Por eso no tienen futuro.",competencia,,Opposition
11112,"Pero ahora —lo quisieron hacer, ¿eh?, los estaba yo fildeando, como se dice en el béisbol— ahora que tomamos la decisión de rescatar la concesión en el istmo, una campaña, ¿no?: ‘Va a haber fuga de capital’ ‘se va a caer el peso’, ‘se pierde la confianza’, ¿no?, echándole miedo a la gente. No, ya no les funciona eso.",competencia,,Opposition
12081,"Se terminó con la movilidad social, que significa que el hijo del campesino, el hijo del obrero, de maestro, del comerciante puedan con el estudio, con el trabajo ascender en la escala social. Eso ya no se permitía en el periodo neoliberal estaba cancelado, era ‘naciste pobre a vas a morir pobre y, ni modo, así es la ley de la vida, esa es la fortuna’.",competencia,,Opposition
2862," No conozco el video, pero habría que verlo. Hay, desde luego, mucho interés de querer, de buscar igualarnos. Es echar porquería al ventilador, es decir: ‘Todos son iguales —eso ya lo hemos padecido— todos son iguales’, y más cuando hay escándalos de corrupción en el bloque conservador, tratan.",competencia,,Opposition
9690,"Y aquí informamos, como nunca se había hecho, cada 15 días en la sección ‘Cero impunidad’, siempre. Pero insisto, porque es importante que la gente sepa que hay toda una campaña de desprestigio en contra de nuestro gobierno, que es evidente, y se meten con todo, hasta con estos temas que significan dolor, no les importa traficar con el dolor de la gente. Por eso hablamos de temporadas de zopilotes, porque hacen todo, todo, todo, para tratar de afectarnos.",competencia,,Opposition
232," Muy bien, mira, en lo primero la recomendación es que no se utilice dinero del presupuesto para favorecer a ningún partido, a ningún candidato, que se actúe con transparencia, que el voto sea libre, que las elecciones sean libres y limpias, que se acabe el fraude electoral, que no haya compras de votos, que no se condicione el voto para la entrega de Programas de Bienestar, que no se repartan despensas, todo eso que… La vergüenza.",competencia,economia,Opposition
20309,"Con respecto a las declaraciones recientes de la senadora Gálvez respecto a que usted está tratando de imponer a Samuel García y causando un factor de división en Movimiento Ciudadano, ¿qué opinión tiene al respecto?",competencia,,Opposition
914,"Es más, les voy a contar una anécdota con él, porque todo esto ayuda mucho. Cuando llegué a dirigir un partido se estaba negociando quiénes iban a ser consejeros en el INE, y a mí me tocó estar en la mesa.",competencia,,Opposition
6812," Sí, nosotros sabemos que es una injusticia, que es una flagrante violación a la democracia, a los derechos humanos, que es muy lamentable lo que sucedió con él y luego la represión a la gente.",competencia,,Opposition
12741," Jefa de gobierno. Allá que se vaya, a donde viven los fifís, y ellos van a votar por ella, segurísimo.",competencia,,Opposition
7118,"Entonces, la oligarquía, sí, es el gobierno de los pocos, de la minoría, de los potentados; la democracia es el gobierno del pueblo.",competencia,,Opposition
14390," Todos, la mayoría. A lo mejor hay algunos que no lo saben, o sea, porque no hay que generalizar, a lo mejor hay algunos que están ahí de buena fe, pero la mayoría ya lo sabe y están participando porque quieren ser plurinominales; o sea, su papel de paleros les va a dar la posibilidad de tener una pluri, pero ya la mayoría lo sabe.",competencia,,Opposition
11333," No, buscan involucrarnos a nosotros para cuando menos lograr lo que siempre ha deseado la mafia del poder, el que se acepte de que todos somos iguales; y no, no somos iguales, nosotros no somos corruptos, nosotros no establecemos relaciones de complicidad con nadie, y eso es lo que él tiene que aclarar.",competencia,,Opposition
20982,"Entonces, a partir del 88, Prian, y nosotros empezamos a denunciarlo, son lo mismo, son lo mismo, son lo mismo. Y decían que no, y engañaron mucho a la gente, gente buena del PRI y del PAN de abajo, que hasta los ponían a pelear en sus municipios, en sus estados, y arriba estaban haciendo los enjuagues, las concertacesiones, así se llamaban, así.",competencia,,Opposition
14568,"Y le contesto: Pues sí, pero fue en Cocula y de ahí es el mariachi, y están en nuestro movimiento. En ese entonces fue uno de los municipios que ganamos. De Cocula es el mariachi.",competencia,,Opposition
1694,"Le decían: ‘el Antipristo’. Extraordinario, un gran maestro de la Facultad de Ciencias Políticas, muy bueno, cuando nadie de los intelectuales orgánicos cuestionaba a Salinas, Luis Javier, que dondequiera que esté sepa que lo recordamos con mucho cariño, que fue de los precursores de este movimiento.",competencia,,Opposition
20195,"Entonces, yo le pregunto a la presidenta del Poder Judicial y al ministro: ¿cuándo van a resolver en un sentido o en otro?, ¿cuándo van a resolver? Porque la Constitución establece que la justicia tiene que ser pronta y expedita. Y sí es pronta y es expedita para los de enfrente, los del flanco derecho; y para el pueblo, para el flanco izquierdo, duerme el sueño de los justos. Entonces, esto es lo que está.",competencia,,Opposition
19392,"Pero la fuerza de los medios. Ya nada más para recordar quiénes son los conservadores, como 10 años después fueron a buscar a Maximiliano los mismos, fueron los que propiciaron que en México se estableciera un imperio, los mismos conservadores.",competencia,,Opposition
